Directory,Category,Priority,Status,NAP Correct,URL to Claim/Edit,Notes,Action Required
Google Business Profile,Primary,CRITICAL,CLAIMED,YES,https://business.google.com/,Primary listing - 130+ reviews - verify secondary categories added,Add Commercial Cleaning Service + Janitorial Service categories
Bing Places,Primary,HIGH,NEEDS CLAIM,UNKNOWN,https://www.bingplaces.com/,Plan mentions needs claiming,Claim and verify NAP
Apple Maps,Primary,HIGH,NEEDS CLAIM,UNKNOWN,https://mapsconnect.apple.com/,Plan mentions needs claiming,Claim and verify NAP
Yelp,Primary,HIGH,CHECK,UNKNOWN,https://biz.yelp.com/,Major review platform,Verify listing exists and NAP is correct
Facebook Business,Social,HIGH,CLAIMED,CHECK,https://www.facebook.com/thevalleycleanteam/,Social presence established,Verify NAP matches
Better Business Bureau,Trust,CRITICAL,DUPLICATE,NO,https://www.bbb.org/,Plan mentions duplicate listings - actively bleeding leads,Contact BBB to consolidate duplicates
Angi (Angie's List),Lead Gen,HIGH,NEEDS CREATE,N/A,https://www.angi.com/pro/,Plan Task #28,Create listing
Thumbtack,Lead Gen,HIGH,NEEDS CREATE,N/A,https://www.thumbtack.com/pro/,Plan Task #29,Create listing
HomeAdvisor,Lead Gen,HIGH,NEEDS CREATE,N/A,https://pro.homeadvisor.com/,Plan Task #30,Create listing
Houzz,Industry,MEDIUM,NEEDS CREATE,N/A,https://pro.houzz.com/,Plan Task #31,Create profile
Nextdoor Business,Local,MEDIUM,NEEDS CREATE,N/A,https://business.nextdoor.com/,Plan Task #32,Create profile
Yellow Pages,Directory,MEDIUM,CHECK,UNKNOWN,https://www.yellowpages.com/,Traditional directory,Verify or create listing
White Pages,Directory,MEDIUM,CHECK,UNKNOWN,https://www.whitepages.com/,Traditional directory,Verify or create listing
Manta,Directory,MEDIUM,CHECK,UNKNOWN,https://www.manta.com/,Business directory,Verify or create listing
MapQuest,Maps,MEDIUM,CHECK,UNKNOWN,https://www.mapquest.com/,Alternative maps platform,Verify listing
Foursquare,Local,MEDIUM,CHECK,UNKNOWN,https://business.foursquare.com/,Location-based platform,Verify or create listing
Superpages,Directory,LOW,CHECK,UNKNOWN,https://www.superpages.com/,Directory listing,Verify or create listing
Citysearch,Directory,LOW,CHECK,UNKNOWN,https://www.citysearch.com/,Local search directory,Verify or create listing
Yellowbook,Directory,LOW,CHECK,UNKNOWN,https://www.yellowbook.com/,Traditional directory,Verify or create listing
Local.com,Directory,LOW,CHECK,UNKNOWN,https://www.local.com/,Local business directory,Verify or create listing
Judy's Book,Directory,LOW,CHECK,UNKNOWN,https://www.judysbook.com/,Review directory,Verify or create listing
Merchant Circle,Directory,LOW,CHECK,UNKNOWN,https://www.merchantcircle.com/,Business network,Verify or create listing
EZLocal,Directory,LOW,CHECK,UNKNOWN,https://www.ezlocal.com/,Local business directory,Verify or create listing
ShowMeLocal,Directory,LOW,CHECK,UNKNOWN,https://www.showmelocal.com/,Local directory,Verify or create listing
Brownbook,Directory,LOW,CHECK,UNKNOWN,https://www.brownbook.net/,Global business directory,Verify or create listing
Hotfrog,Directory,LOW,CHECK,UNKNOWN,https://www.hotfrog.com/,Business directory,Verify or create listing
Cylex,Directory,LOW,CHECK,UNKNOWN,https://www.cylex.us.com/,Business directory,Verify or create listing
n49,Directory,LOW,CHECK,UNKNOWN,https://www.n49.com/,Local business directory,Verify or create listing
Alignable,Networking,MEDIUM,CHECK,UNKNOWN,https://www.alignable.com/,Business networking,Create or verify
Chamber of Commerce,Local Authority,HIGH,NEEDS JOIN,N/A,https://shoalschamber.com/,Plan Task #33 - Shoals Chamber,Join for local authority link
LinkedIn Company,Social,MEDIUM,CLAIMED,CHECK,https://www.linkedin.com/company/thevalleycleanteam,Already claimed,Verify info matches
Indeed Company,Employment,LOW,CHECK,UNKNOWN,https://www.indeed.com/,May have auto-generated listing,Claim if exists
Glassdoor,Employment,LOW,CHECK,UNKNOWN,https://www.glassdoor.com/,Employer profile,Claim if exists
D&B (Dun & Bradstreet),Business,MEDIUM,CHECK,UNKNOWN,https://www.dnb.com/,Business credit,Verify listing
Spoke,Directory,LOW,CHECK,UNKNOWN,https://www.spoke.com/,Company directory,Verify or create listing
Data Axle,Aggregator,MEDIUM,CHECK,UNKNOWN,https://www.data-axle.com/,Data aggregator - feeds many directories,Submit NAP update
Localeze/Neustar,Aggregator,MEDIUM,CHECK,UNKNOWN,https://www.neustarlocaleze.biz/,Data aggregator,Submit NAP update
Factual/Foursquare,Aggregator,MEDIUM,CHECK,UNKNOWN,https://foursquare.com/products/places/,Data aggregator,Submit NAP update
Infogroup,Aggregator,MEDIUM,CHECK,UNKNOWN,https://www.infogroup.com/,Data aggregator,Submit NAP update
